date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:11	16051/16051	---M-Z	200	added ('OK')	text/html	etag:%224f6014d-3eb3-5d6fb3b7a3c4c-gzip%22	http://pausedesign.ca/index.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/index.html	(from )
17:24:12	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Mar%202022%2015:24:11%20GMT	http://pausedesign.ca/robots.txt		(from )
17:24:12	1106/1106	---M-Z	200	added ('OK')	text/css	etag:%224f600a1-452-5a3a5cbf02e80-gzip%22	http://pausedesign.ca/css/reset.css	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/css/reset.css	(from http://pausedesign.ca/index.html)
17:24:12	13053/13053	---M--	200	added ('OK')	image/jpeg	etag:%224f60129-32fd-5a5b09d279f40%22	http://pausedesign.ca/static/images/favicon.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/favicon.jpg	(from http://pausedesign.ca/index.html)
17:24:12	29272/29272	---M-Z	200	added ('OK')	text/css	etag:%224f60140-7258-5b26cd1df36e6-gzip%22	http://pausedesign.ca/css/style.css?v=11	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/css/style3f56.css	(from http://pausedesign.ca/index.html)
17:24:13	16653/16653	---M-Z	200	added ('OK')	text/html	etag:%224f6013f-410d-5ad50bef0e300-gzip%22	http://pausedesign.ca/about.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/about.html	(from http://pausedesign.ca/index.html)
17:24:13	8601/8601	---M-Z	200	added ('OK')	text/html	etag:%224f60141-2199-5ad50bef0e300-gzip%22	http://pausedesign.ca/contact.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/contact.html	(from http://pausedesign.ca/index.html)
17:24:13	17984/17984	---M-Z	200	added ('OK')	text/html	etag:%224f600cb-4640-5b26ce45b1bd4-gzip%22	http://pausedesign.ca/projects/linsmore/linsmore.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/projects/linsmore/linsmore.html	(from http://pausedesign.ca/index.html)
17:24:14	16638/16638	---M-Z	200	added ('OK')	text/html	etag:%224f62b8a-40fe-5b26cdfa2ec73-gzip%22	http://pausedesign.ca/projects/boiler-loft/boiler-loft.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/projects/boiler-loft/boiler-loft.html	(from http://pausedesign.ca/index.html)
17:24:15	16451/16451	---M-Z	200	added ('OK')	text/html	etag:%224f600bf-4043-5b26ce2a18fca-gzip%22	http://pausedesign.ca/projects/larchmount-kitchen/larchmount-kitchen.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/projects/larchmount-kitchen/larchmount-kitchen.html	(from http://pausedesign.ca/index.html)
17:24:15	18241/18241	---M-Z	200	added ('OK')	text/html	etag:%224f62b8b-4741-5b26ce8cd221f-gzip%22	http://pausedesign.ca/projects/pause-studio/studio-on-queen.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/projects/pause-studio/studio-on-queen.html	(from http://pausedesign.ca/index.html)
17:24:16	35903/35903	---M--	200	added ('OK')	image/jpeg	etag:%224f60135-8c3f-5a38bdc752680%22	http://pausedesign.ca/static/images/LinsmoreMobileHP.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/LinsmoreMobileHP.jpg	(from http://pausedesign.ca/index.html)
17:24:16	14917/14917	---M-Z	200	added ('OK')	text/html	etag:%224f600a7-3a45-5b26ce14615f9-gzip%22	http://pausedesign.ca/projects/larchmount-garden/larchmount-garden.html	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/projects/larchmount-garden/larchmount-garden.html	(from http://pausedesign.ca/index.html)
17:24:53	225796/225796	---M--	200	added ('OK')	image/jpeg	etag:%224f6012f-37204-5a3a5cbf02e80%22	http://pausedesign.ca/static/images/Larchmount%20front%20yard%20%20-%202.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/Larchmount%20front%20yard%20%20-%202.jpg	(from http://pausedesign.ca/index.html)
17:24:55	251033/251033	---M--	200	added ('OK')	image/jpeg	etag:%224f6013b-3d499-5a89bfb3c8d00%22	http://pausedesign.ca/static/images/Pause_LarchmountKitchen_2HP.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/Pause_LarchmountKitchen_2HP.jpg	(from http://pausedesign.ca/index.html)
17:25:19	144450/144450	---M--	200	added ('OK')	image/jpeg	etag:%224f6013a-23442-5a3a5cc0eb300%22	http://pausedesign.ca/static/images/Pause_LarchmountKitchen_0110-Edit.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/Pause_LarchmountKitchen_0110-Edit.jpg	(from http://pausedesign.ca/index.html)
17:25:45	318436/318436	---M--	200	added ('OK')	image/jpeg	etag:%224f6012e-4dbe4-58b341ede5200%22	http://pausedesign.ca/static/images/Homepage%20131226_PauseStudioA_0219-Edit.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/Homepage%20131226_PauseStudioA_0219-Edit.jpg	(from http://pausedesign.ca/index.html)
17:25:45	569207/569207	---M--	200	added ('OK')	image/jpeg	etag:%224f6012b-8af77-58b338c7abc00%22	http://pausedesign.ca/static/images/Homepage%20121221%20Jason%20Ho%200131_edit.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/Homepage%20121221%20Jason%20Ho%200131_edit.jpg	(from http://pausedesign.ca/index.html)
17:25:48	177917/177917	---M--	200	added ('OK')	image/jpeg	etag:%224f60133-2b6fd-5a3d320e72740%22	http://pausedesign.ca/static/images/LinsmoreHP_1.jpg	C:/Users/wb580314/OneDrive%20-%20WBG/httrack/pause/pause/pausedesign.ca/static/images/LinsmoreHP_1.jpg	(from http://pausedesign.ca/index.html)
